figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in NBs?,Is protein present in NBs?,Is RNA present in anlagen?,Is protein present in anlagen?,Is RNA present in other cells?,Is protein present in other cells?,Is figure quality too poor?,General comments,,figure_id,NB_RNA_no_protein,
2138372,High,High,Evenly distributed,Nuclear,Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,RNA translationally up-regulated as NB progenies differentiate?,,2138848,0,1
2138694,Moderate,Moderate,"Cell type specific	More in some cells than others",Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,More RNA/Protein in the NBs and early GMCs,,2138653,0,1
2137980,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2138180,0,1
2138786,Moderate,Moderate,More in some cells than others,"Punctate	Nuclear",Moderate,Moderate,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,2138361,0,1
2138552,Moderate,Low,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,,,2138786,1,0
2138256,Low,Moderate,More in some cells than others,"Punctate	Cytoplasmic	Cell type specific",High,Low,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Protein seems glial localised in CB. Might be translationally controlled in non-glial cells in the CB. ,,2138708,1,0
2138356,Low,Low,Single transcripts,Cell type specific,None,Low,No,No,No,No,No,No,Yes,Yes,Yes,Protein expressed in some neuronal projections that populate optic lobe neuropils,,2138767,1,0
2139974,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,RNA in neuropil,,2138722,1,0
2138564,High,High,Evenly distributed,"Punctate	Nuclear",High,High,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2137928,1,0
2138568,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,,,2138874,1,0
2138476,Low,Low,"Single transcripts	More in some cells than others",Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2138309,1,0
2138147,Moderate,Moderate,Evenly distributed,"Cell type specific	Other",Low,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Protein localised to neuropils and neuronal projections.
RNAs are not much transcribed on the CB surface. ",,2138374,1,0
2138708,Moderate,Low,Evenly distributed,Diffuse,Low,Moderate,Yes,No,Yes,No,No,No,Yes,Yes,No,,,2138529,1,0
2138024,Moderate,Moderate,"Cell type specific	More in some cells than others","Punctate	Cytoplasmic",Moderate,Moderate,Yes,Yes,No,No,N/A,N/A,Yes,Yes,No,RNA is expressed in some cells that are not being translated. ,,2138503,1,0
2137873,Moderate,Moderate,Evenly distributed,"Large aggregations	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Anlagen - Lots of RNA, very small amount of Protein.
Protein localisation enriched in neuropil regions. ",,2138771,1,0
2138055,Moderate,Moderate,"More in some cells than others	Other","Punctate	Large aggregations	Cytoplasmic",High,Low,Yes,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2138938,1,0
2138604,Moderate,Low,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,,,2138418,1,0
2138767,Moderate,Low,"Single transcripts	More in some cells than others",Nuclear,Moderate,Moderate,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,2138245,1,0
2138136,Low,Moderate,Single transcripts,Cell edges,None,Low,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2138441,1,0
2138667,Moderate,High,Evenly distributed,"Nuclear	Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138371,1,0
2138927,High,High,Evenly distributed,Nuclear,High,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Translational in some cells in the NB layer,,2138543,1,0
2138827,High,Moderate,Evenly distributed,,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138494,1,0
