figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments,,somaRNAnoProtein,somaProteinNoRNA,lobeRNAnoProtein,lobesProteinNoRNA,calyxRNAnoProtein,calyxProteinNoRNA,figure_id
2138311,Low,Low,Evenly distributed,Cytoplasmic,Moderate,Low,Yes,No,Yes,No,No,Yes,No,Yes,No,,,0,1,0,1,0,1,2137994
2138540,Moderate,Low,Evenly distributed,"Punctate	Nuclear",Moderate,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,1,0,1,0,1,2138363
2138893,None,None,,,None,None,No,No,No,No,No,No,No,No,No,,,1,0,0,1,0,1,2138311
2138431,None,Moderate,,Cytoplasmic,None,None,No,No,No,No,No,Yes,No,Yes,No,,,1,0,0,1,0,1,2138348
2138798,High,High,Evenly distributed,Nuclear,Low,High,Yes,No,Yes,Yes,Yes,No,Yes,No,No,,,1,0,0,1,0,1,2138669
2138452,Low,None,Single transcripts,Cell type specific,Moderate,Low,No,No,Yes,Yes,No,No,No,No,No,,,1,0,0,1,0,1,2137808
2137992,High,High,Evenly distributed,"Cell edges	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,Yes,No,No,No,,,1,0,0,1,0,1,2138167
2138248,High,None,Evenly distributed,Other,High,High,Yes,No,Yes,No,No,No,No,No,Yes,,,1,0,0,1,0,1,2138151
2138519,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,No,No,No,Yes,No,,,1,0,0,1,0,1,2138397
2138348,Low,Moderate,Evenly distributed,"Nuclear	Cytoplasmic",Low,Low,Yes,No,Yes,No,No,Yes,No,Yes,No,,,1,0,0,1,0,1,2137788
2138464,Moderate,Low,Evenly distributed,Cytoplasmic,High,Moderate,Yes,Yes,Yes,No,No,No,No,No,No,,,1,0,0,1,0,1,2138308
2138415,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,1,0,1,2138431
2138468,Low,Low,Single transcripts,,Low,None,No,No,Yes,Yes,No,No,No,No,Yes,,,0,0,0,1,0,1,2138415
2138576,Low,Low,"Single transcripts	More in some cells than others",Cytoplasmic,Low,Low,Yes,No,Yes,Yes,No,No,Yes,No,No,Translational control in some Kenyon cells,,0,0,0,1,0,1,2138159
2138616,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,1,0,1,2138036
2137774,Moderate,None,More in some cells than others,,Moderate,Moderate,Yes,No,No,No,No,No,No,No,No,RNA seems to be cell specific (deep glia?),,0,0,0,1,0,1,2137945
2138159,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,1,0,1,2138944
2138393,Low,Low,"Single transcripts	More in some cells than others",Cytoplasmic,None,Low,No,No,No,No,No,No,No,No,No,,,0,0,0,1,0,1,2138057
2137902,Moderate,Moderate,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,1,0,1,2138706
2138128,Moderate,High,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,1,0,1,2138358
