figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments
2138311,Low,Low,Single transcripts,Diffuse,Moderate,Low,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138540,High,Moderate,Evenly distributed,"Punctate	Nuclear",High,High,No,No,Yes,No,No,No,No,No,No,
2138431,None,Moderate,,Diffuse,None,None,No,No,No,Yes,No,No,No,Yes,No,
2138452,Low,Low,Single transcripts,Nuclear,High,Low,No,No,No,No,No,No,No,No,Yes,very poor quality in RNA channel
2137992,Moderate,Moderate,Evenly distributed,Diffuse,High,Moderate,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138248,Low,High,Evenly distributed,"Diffuse	Large aggregations",Moderate,Low,No,No,No,No,No,Yes,No,No,Yes,
2138519,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138348,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138464,High,Low,Evenly distributed,Diffuse,High,High,Yes,No,Yes,No,No,No,No,Yes,No,
2138415,High,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",High,None,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138468,Low,Moderate,Single transcripts,Diffuse,Moderate,Low,No,No,No,No,No,Yes,No,Yes,No,
2137774,Moderate,Low,More in some cells than others,Cytoplasmic,Low,Moderate,Yes,No,No,Yes,No,No,No,Yes,No,
2138159,Moderate,High,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,Yes,No,No,Yes,Yes,Yes,No,Yes,No,
2138393,None,Low,,Diffuse,None,None,No,No,No,No,No,No,No,No,No,No protien or RNA expression in Control either
