figure_id,What is the level of RNA expression?,What is the level of protein expression?,What is the distribution of expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,General comments,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,RNAnoProtein,ProteinNoRNA_neuropil,RNAnoProtein_neuropil,ProteinNoRNA_soma,RNAnoProtein_soma,,user+dataDiscordance,userDiscordance,neuropilDiscordance,somaDiscordance,,neuropilSomaDiscordance
2138881,High,Moderate,"Diffuse	Large aggregations",Evenly distributed,"Diffuse	Other",Moderate,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2137912,2137998,2138725,,2138339
2138423,High,High,Diffuse,Evenly distributed,"Cell edges	Other",Moderate,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2137789,2138642,,,2138354
2137810,High,Moderate,Diffuse,"Evenly distributed	More in some cells than others","Cell edges	Diffuse",High,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138789,2137905,,,2138850
2138946,High,Moderate,"Diffuse	Cytoplasmic",Evenly distributed,"Cell edges	Diffuse	Other",Moderate,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138039,2138613,,,2137998
2138825,Low,Low,"Diffuse	Nuclear",Single transcripts,"Nuclear	Diffuse	Other",Low,Low,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138704,2138549,,,2138636
2138866,High,Moderate,"Punctate	Diffuse	Large aggregations",More in some cells than others,"Punctate	Diffuse	Other",High,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138049,,,,2138642
2138702,Moderate,Low,"Diffuse	Subset of cells",More in some cells than others,Diffuse,Moderate,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138630,,,,2138349
2138562,Low,Moderate,"Punctate	Diffuse",Evenly distributed,"Cell edges	Other",Low,Low,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138346,,,,2138812
2138321,Moderate,High,"Diffuse	Cytoplasmic",Evenly distributed,"Cell edges	Other",Low,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138229,,,,2137905
2138593,High,Moderate,"Punctate	Large aggregations",Evenly distributed,"Punctate	Other",Moderate,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138352,,,,2138613
2138755,Moderate,High,Subset of cells,More in some cells than others,"Nuclear	Other",Moderate,Moderate,Yes,No,Highly expressed in one nerve bundle. Do we know which one?,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138774,,,,2138720
2138132,High,High,Diffuse,Evenly distributed,"Diffuse	Other",Moderate,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138477,,,,2137791
2138357,Moderate,High,Diffuse,Evenly distributed,"Cell edges	Other",Low,Moderate,Yes,No,"DAPI on the surface image is saturating, needs to be re-contrasted",Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138530,,,,2138467
2138430,Low,High,Subset of cells,More in some cells than others,"Cell edges	Other",None,Low,Yes,No,This is taken in the wrong place? Definitely a different spot to the others. Protein seems to be in the lamellae between the sections of the brain lobe,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138156,,,,2138851
2138355,Low,Moderate,"Punctate	Diffuse",Single transcripts,"Punctate	Diffuse",Low,Low,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138332,,,,2138557
2138598,Moderate,High,"Large aggregations	Cytoplasmic",More in some cells than others,"Punctate	Diffuse	Other",Moderate,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138117,,,,2138026
2138764,Moderate,Low,"Diffuse	Cytoplasmic","Evenly distributed	Single transcripts","Diffuse	Other",None,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138377,,,,2138899
2138768,High,High,"Diffuse	Cytoplasmic",Evenly distributed,"Cell edges	Diffuse	Other",Low,High,Yes,No,"RNA is too faint, need to re-contrast?",Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2138510,,,,2137877
2138490,High,High,"Punctate	Large aggregations",More in some cells than others,Punctate,Low,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,0,2137894,,,,2138032
2138068,Moderate,Moderate,Diffuse,"Evenly distributed	More in some cells than others","Cell edges	Other",Low,Moderate,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,1,2138881,2138881,2138339,,2138414
2138914,High,High,"Punctate	Large aggregations",Evenly distributed,Punctate,Low,High,Yes,No,Huge aggregations of protein,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,1,2138423,2138423,2138354,,2138160
2138021,High,Low,"Punctate	Other",Evenly distributed,,High,High,Yes,No,Deep image isn't contrasted well. Low protein signal maybe?,Yes,Yes,No,Yes,No,No,0,yes,no,no,no,,1,2137810,2137810,2138850,,2138044
2138646,High,Moderate,"Punctate	Diffuse",Evenly distributed,"Punctate	Diffuse	Other",Low,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,1,2138026,2138026,2137998,,2137757
2138637,High,Low,"Punctate	Large aggregations",Evenly distributed,"Punctate	Other",High,High,Yes,No,,Yes,Yes,No,Yes,soma,No,0,yes,no,no,no,,1,2138946,2138946,2138636,,2137807
2137912,Moderate,Low,"Diffuse	Subset of cells",More in some cells than others,"Punctate	Diffuse",Low,Moderate,Yes,No,,Yes,Yes,Yes,Yes,No,No,0,no,no,no,no,,1,2138825,2138825,2138642,,2138691
2137789,High,Moderate,"Diffuse	Nuclear	Cytoplasmic",Evenly distributed,Cell edges,Low,High,Yes,No,,Yes,Yes,Yes,Yes,No,No,0,no,no,no,no,,1,2138866,2138866,2138349,,2137800
