figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in midline glia?,Is protein present in midline glia?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments
2140674,High,High,Evenly distributed,Nuclear	Large aggregations,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2137787,High,Low,Evenly distributed,Punctate	Cytoplasmic,Moderate,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2140037,None,Moderate,,Nuclear	Large aggregations,None,None,No,No,No,Yes,No,Yes,No,No,Yes,venus FISH didn't work.
2138407,Low,None,Single transcripts,,Moderate,Low,No,No,Yes,No,Yes,No,No,No,No,
2138344,Low,Moderate,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138803,High,High,Evenly distributed,Cytoplasmic,Low,High,No,No,Yes,Yes,No,No,Yes,Yes,No,
2138903,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138716,Moderate,None,More in some cells than others,,Low,Moderate,No,No,Yes,No,No,No,No,No,Yes,
2138047,Low,Moderate,Single transcripts	Cell type specific,Cytoplasmic	Cell type specific,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138059,Moderate,High,Evenly distributed,Large aggregations	Cytoplasmic,High,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137766,Moderate,High,More in some cells than others,Diffuse	Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138779,Low,Low,More in some cells than others,Cytoplasmic,Moderate,Low,Yes,No,Yes,No,Yes,No,No,Yes,No,
2138679,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138632,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138844,Low,Low,Single transcripts,Cell edges,None,Low,No,No,N/A,Yes,N/A,Yes,N/A,Yes,Yes,Venus FISH didn't work
2138497,Moderate,High,Evenly distributed,Nuclear	Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138171,High,High,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138012,High,High,Evenly distributed,Cell edges,Moderate,Moderate,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138618,Low,Low,Single transcripts,Diffuse	Cytoplasmic,Low,Low,No,No,Yes,Yes,No,No,No,No,No,
2138870,High,High,Evenly distributed,Cytoplasmic,High,Moderate,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,
2138134,Moderate,Moderate,Evenly distributed	Single transcripts,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138665,High,High,Evenly distributed,Punctate	Cell edges	Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,Yes,No,
2138391,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138801,Moderate,Low,Evenly distributed,Punctate	Cytoplasmic,Low,Low,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138901,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138741,Low,Moderate,Evenly distributed,Nuclear,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138854,Low,Low,Single transcripts	More in some cells than others,Cytoplasmic	Cell type specific,Moderate,Low,No,No,No,No,No,No,Yes,Yes,No,
2139885,High,Moderate,Evenly distributed,Cytoplasmic,High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138937,Moderate,Low,Evenly distributed,Large aggregations	Cytoplasmic,High,Low,No,No,Yes,Yes,No,No,No,Yes,No,
2138595,Moderate,Moderate,More in some cells than others,Cell edges	Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2139897,High,Moderate,Evenly distributed,Cytoplasmic,High,High,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,
2138925,Low,Low,Single transcripts,Cell type specific,Low,Low,Yes,No,Yes,No,No,No,No,Yes,No,
2140579,Low,None,Cell type specific,Cytoplasmic,High,Moderate,No,No,Yes,Yes,N/A,No,No,No,Yes,
2138684,Low,None,Single transcripts,,None,Low,No,No,Yes,No,No,No,No,No,No,
2138421,Low,Low,Cell type specific,Cytoplasmic,High,Low,No,No,Yes,Yes,Yes,No,No,No,No,
2138258,Moderate,High,More in some cells than others,Cell type specific,Moderate,Low,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138474,High,High,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,N/A,No,No,No,No,
2138325,Moderate,Moderate,Evenly distributed,Nuclear	Cytoplasmic,None,None,Yes,No,Yes,Yes,Yes,No,Yes,No,No,"Protein predominantly nuclear in the surface --> nucleocytoplasmic in deeper.
RNA not translated in some cells in the surface "
2138517,Moderate,None,Evenly distributed,Cytoplasmic,High,Moderate,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,
2138246,High,High,Evenly distributed,Cytoplasmic	Other,Moderate,High,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Protein highliy localised to neurites
2138254,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2137920,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138734,Moderate,Low,More in some cells than others,Punctate	Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138483,Low,Moderate,Evenly distributed,Cell edges	Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138014,Moderate,Low,Single transcripts	More in some cells than others,Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
2139881,Low,None,Single transcripts,,Low,Low,Yes,No,Yes,No,Yes,No,No,No,No,
2138638,Moderate,Low,Single transcripts,Cell edges	Cytoplasmic,High,Low,Yes,No,Yes,Yes,N/A,No,No,No,No,
2138933,Low,Moderate,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138177,Moderate,None,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,
2138591,Moderate,Low,Evenly distributed,Diffuse	Cytoplasmic,Low,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
2138673,Moderate,High,More in some cells than others,Diffuse	Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138141,Low,Moderate,Single transcripts,Cytoplasmic	Cell type specific,None,None,No,No,Yes,Yes,No,No,No,Yes,Yes,Too zoomed out to see RNA. smFISH didn't work well. 
2138805,High,High,Evenly distributed,Nuclear	Large aggregations,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138030,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,No,No,Yes,No,
2138661,Low,None,More in some cells than others,Punctate	Cell edges	Large aggregations	Cytoplasmic,Low,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138130,High,High,Evenly distributed,Cytoplasmic,High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137760,Low,Moderate,Single transcripts,Punctate	Diffuse	Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138817,Moderate,Moderate,Evenly distributed,Nuclear,Low,Low,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138333,High,Moderate,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138350,Low,None,Single transcripts,,None,Low,No,No,Yes,No,No,No,No,No,No,Neuropil not shown in the top figure
2140672,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2137793,Low,High,Cell type specific,Cell type specific,Moderate,Low,No,No,No,No,Yes,Yes,No,No,No,Midline glia specific expression
2138458,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,RNA not translated in deep VNC cell bodies 
2138792,High,Low,Evenly distributed,Nuclear,Moderate,High,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
2138887,High,High,Evenly distributed,Cell edges	Large aggregations	Cytoplasmic	Other,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Protein localised to nuclear and plasma membrane + neurite cytoplasm. 
2138305,Low,Moderate,Single transcripts,Punctate	Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138340,Low,Low,Single transcripts,Punctate	Cytoplasmic,Low,Low,No,No,Yes,Yes,N/A,No,No,Yes,No,
2138331,Low,Moderate,Single transcripts,Punctate	Cell type specific,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138364,Low,Moderate,Single transcripts,Cytoplasmic,None,Low,No,No,Yes,Yes,No,No,No,Yes,No,
2138307,Low,Low,Single transcripts	More in some cells than others,Punctate	Cytoplasmic,Low,Moderate,Yes,No,Yes,No,No,No,No,Yes,No,
2138885,High,High,Evenly distributed,Cell edges	Cytoplasmic,High,High,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
2138427,Moderate,Low,Evenly distributed,Punctate,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,Might want to check the channels are displayed correctly. 
2138527,Moderate,Moderate,More in some cells than others,Nuclear,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138444,Moderate,Low,More in some cells than others,Diffuse	Cytoplasmic,Moderate,Moderate,Yes,Yes,Yes,No,N/A,No,Yes,No,No,
2138268,High,High,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138108,Low,Moderate,,Punctate	Cytoplasmic,Low,Low,No,No,Yes,No,No,No,No,No,No,
2138493,Low,Moderate,More in some cells than others,Diffuse	Large aggregations	Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138931,Low,Moderate,Single transcripts,Nuclear,Moderate,Low,No,No,Yes,Yes,No,No,No,No,No,
2140573,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138647,High,Moderate,Evenly distributed,Diffuse	Large aggregations	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138581,High,Moderate,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2137941,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,Yes,Yes,No,
2138940,Low,Low,More in some cells than others,Cytoplasmic,Low,Low,Yes,No,No,No,Yes,No,Yes,Yes,No,
2138915,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2137762,Low,Moderate,Single transcripts,Cytoplasmic,None,Low,No,No,Yes,Yes,No,No,No,No,No,
2138600,High,High,Evenly distributed,Cell edges	Cytoplasmic,High,Moderate,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,
2138385,High,High,Evenly distributed,Cytoplasmic,Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
2138807,High,Moderate,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,Neuropil image too shallow. 
2138020,Low,Low,Single transcripts,Diffuse	Cytoplasmic,None,Low,No,No,Yes,Yes,No,No,No,No,No,
2137806,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,No,No,No,Yes,No,
2138162,Low,None,Single transcripts	More in some cells than others,,Low,Low,Yes,No,Yes,No,No,No,Yes,No,No,
2138733,Moderate,Low,More in some cells than others,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,No,Yes,
2138013,Moderate,High,More in some cells than others,Cytoplasmic	Cell type specific,Moderate,Moderate,Yes,No,Yes,Yes,N/A,No,N/A,No,No,Neuropil image is too shallow - cannot see neuropils 
2137948,High,Moderate,Evenly distributed,Nuclear	Diffuse	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137848,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,No,No,No,Yes,No,
2138488,Low,Moderate,Evenly distributed,Nuclear	Other,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,Nucleolar protein expression. 
2138621,Moderate,High,Evenly distributed,Nuclear	Cytoplasmic,Low,Moderate,Yes,No,Yes,Yes,Yes,No,No,No,No,
2137903,Low,Moderate,More in some cells than others,Large aggregations	Cell type specific,Moderate,Low,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138709,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138158,Low,Moderate,More in some cells than others,Cytoplasmic,Low,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138902,Low,None,Single transcripts,,None,None,No,No,Yes,No,No,No,No,No,No,
2138802,High,None,Evenly distributed,,High,High,Yes,Yes,Yes,No,Yes,No,Yes,No,No,
2138617,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138766,Moderate,Low,Evenly distributed,Nuclear,Low,Moderate,No,No,Yes,Yes,Yes,No,Yes,Yes,No,
2137779,Moderate,Moderate,More in some cells than others,Cell edges	Cytoplasmic,Moderate,Moderate,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,
2138778,High,High,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137872,Low,Low,Single transcripts,Large aggregations	Cytoplasmic,Low,Low,Yes,No,Yes,Yes,Yes,Yes,No,No,No,
2138705,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
2138334,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2139975,Moderate,Moderate,Evenly distributed	More in some cells than others,Punctate	Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138469,Low,Low,Single transcripts,Punctate	Diffuse	Cytoplasmic,Low,Low,No,No,No,No,No,No,Yes,Yes,No,Current cell bodies figure should be neuropil figure. Actuall cell bodies figure missing.
2138541,Low,Low,More in some cells than others,Punctate	Nuclear,Moderate,Low,Yes,No,Yes,Yes,Yes,Yes,No,No,No,
2138310,Moderate,None,Single transcripts,Cytoplasmic,High,Low,No,No,Yes,Yes,N/A,No,No,No,No,
2138522,Moderate,Moderate,Evenly distributed,Nuclear	Cytoplasmic,High,Moderate,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
2138453,Low,Moderate,Cell type specific	More in some cells than others,Nuclear	Cell type specific,Moderate,Low,No,No,Yes,Yes,No,No,No,No,Yes,
2137993,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138416,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,No,Yes,No,
2138508,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138479,Low,Moderate,Single transcripts	More in some cells than others,Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
2140587,Moderate,Moderate,More in some cells than others,Other,High,Moderate,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Protein localised to nuclear envelope. 
2139877,High,Moderate,Evenly distributed,Nuclear,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138504,High,None,More in some cells than others,Diffuse	Cytoplasmic,High,High,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138181,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138336,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138567,High,Moderate,Evenly distributed,Nuclear,High,High,Yes,Yes,Yes,Yes,No,No,Yes,No,No,
2138432,None,Moderate,,Cytoplasmic,None,None,No,No,N/A,Yes,N/A,Yes,N/A,Yes,Yes,venus FISH did not work.
2138532,High,Moderate,Evenly distributed,Nuclear	Cytoplasmic,High,Moderate,No,No,Yes,No,N/A,No,No,No,No,
2138263,Moderate,Moderate,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138689,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138011,Moderate,High,Single transcripts,Punctate	Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138740,Low,Moderate,Single transcripts	More in some cells than others,Cytoplasmic	Cell type specific,None,None,Yes,Yes,Yes,No,Yes,Yes,No,No,No,
2138859,High,High,Evenly distributed,Large aggregations	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138924,High,Moderate,Evenly distributed,Nuclear,High,High,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138586,Low,Low,Single transcripts,Nuclear,Low,Low,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Cell bodies and neuropil images swapped
2138947,High,High,Evenly distributed,Nuclear,High,High,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138607,Moderate,Low,Evenly distributed,Diffuse	Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,Yes,No,
2138056,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138707,Low,Low,Single transcripts,Large aggregations	Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138871,High,High,Evenly distributed,Nuclear,High,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138382,High,High,Evenly distributed,Cell edges	Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138035,High,High,Evenly distributed,Cell edges	Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138619,Moderate,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,Yes,No,No,No,No,
2138139,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2137777,High,High,Evenly distributed,Nuclear	Cytoplasmic,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138900,High,Low,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2137901,Low,Low,Single transcripts,Cytoplasmic,Low,Low,Yes,No,Yes,No,No,No,No,Yes,Yes,
2137801,High,Low,Evenly distributed,Punctate	Diffuse	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137769,Low,None,Evenly distributed,,Moderate,Low,Yes,No,Yes,No,Yes,No,Yes,No,No,Negative control has a lot of RNA - seems like a wrong image or contrasted poorly
2139013,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,No,No,Yes,No,
2138375,High,High,More in some cells than others,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138886,Low,None,,,None,None,No,No,Yes,No,No,No,No,No,No,
2138559,Low,Moderate,Cell type specific,Cytoplasmic	Cell type specific,Low,Low,No,No,No,No,Yes,Yes,No,No,Yes,Venus FISH not great
2140673,Low,Low,Single transcripts	More in some cells than others,Cell type specific,Moderate,Low,Yes,No,Yes,No,Yes,No,No,Yes,No,
