Discordant_nerve_Is RNA present in nerve?,Discordant_nerve_Is protein present in glia?,Discordant_nerve_Is protein present in nerve?,Discordant_nerve_Is RNA present in glia?,Discordant_VNC_Is protein present in neuropil?,Discordant_VNC_Is RNA present in midline glia?,Discordant_VNC_Is RNA present in neuropil?,Discordant_VNC_Is protein present in soma?,Discordant_VNC_Is RNA present in soma?,Discordant_VNC_Is protein present in midline glia?,Discordant_CB_Is protein present in NBs?,Discordant_CB_Is RNA present in anlagen?,Discordant_CB_Is RNA present in other cells?,Discordant_CB_Is protein present in other cells?,Discordant_CB_Is RNA present in NBs?,Discordant_CB_Is protein present in anlagen?,Discordant_MB_Is protein present in MB calyx?,Discordant_MB_Is protein present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB calyx?,Discordant_MB_Is protein present in MB lobes?,Discordant_MB_Is RNA present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB lobes?,Discordant_NMJ_Is RNA present in neuron?,Discordant_NMJ_Is RNA present in post synaptic density?,Discordant_NMJ_Is protein present in neuron?,Discordant_NMJ_Is protein present in muscle?,Discordant_NMJ_Is RNA present in axon terminal?,Discordant_NMJ_Is protein present in post synaptic density?,Discordant_NMJ_Is RNA present in muscle?,Discordant_NMJ_Is protein present in axon terminal?,Discordant_OL_Is RNA present in neuropil?,Discordant_OL_Is protein present in soma?,Discordant_OL_Is protein present in neuropil?,Discordant_OL_Is RNA present in soma?,FBgn_ID,CPTI,gene_name
3,3,2,3,2,2,3,3,3,0,2,3,2,2,3,2,3,3,2,3,3,3,2,2,2,3,3,2,3,3,2,3,2,3,FBgn0052423,CPTI002796,shep
3,2,3,3,3,0,2,2,2,0,2,3,2,2,3,2,3,2,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,FBgn0011224,CPTI002406,heph
3,3,3,2,2,2,3,3,3,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,3,2,2,3,3,2,3,2,2,3,FBgn0023407,CPTI100035,B4
3,2,3,2,3,2,3,3,3,2,3,2,2,2,3,0,3,2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,FBgn0029939,CPTI001740,CG9650
3,2,2,3,2,2,3,2,3,2,2,3,2,2,0,2,3,2,3,3,3,3,0,3,2,2,2,3,3,2,2,3,2,3,FBgn0264078,CPTI001427,Flo-2
2,2,2,3,3,0,3,3,3,0,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,FBgn0000721,CPTI000091,for
3,3,2,3,2,2,2,3,3,0,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FBgn0039274,CPTI002443,CG11920
2,2,2,2,3,2,2,3,2,0,3,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,3,3,3,2,3,2,3,FBgn0036337,CPTI004071,Adenok
3,3,2,3,2,0,3,2,2,0,3,3,2,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,FBgn0261238,CPTI003598,Alh
2,3,3,3,3,2,2,3,2,2,3,3,2,3,2,3,3,2,3,3,2,2,3,2,3,2,2,3,3,3,2,3,3,0,FBgn0264442,CPTI004479,ab
